Epoch, Train Loss, Train BCE, Train KLD, Valid Loss, Valid BCE, Valid KLD, FID
1, 155.7548, 136.3522, 19.4026, 124.9509, 103.1159, 21.8350, 205.4955
2, 121.2761, 98.4595, 22.8166, 116.9443, 92.8779, 24.0664, 162.0232
3, 115.7929, 92.0542, 23.7387, 113.3574, 89.6238, 23.7336, 149.4145
4, 113.0269, 88.8258, 24.2011, 111.4016, 87.1223, 24.2793, 140.3265
5, 111.3473, 86.8962, 24.4512, 109.9232, 85.8516, 24.0716, 132.8085
6, 110.2403, 85.6140, 24.6263, 108.8355, 83.4743, 25.3612, 124.5191
7, 109.3583, 84.6254, 24.7329, 108.6619, 84.0511, 24.6108, 125.5719
8, 108.6664, 83.8378, 24.8285, 107.8378, 83.3472, 24.4906, 119.4695
9, 108.2632, 83.3521, 24.9112, 107.4203, 82.4013, 25.0190, 116.9573
10, 107.7629, 82.8099, 24.9530, 107.3977, 81.9569, 25.4408, 119.9480
11, 107.4244, 82.4173, 25.0071, 106.7975, 81.4516, 25.3459, 117.0382
12, 107.1569, 82.1223, 25.0346, 106.8936, 81.4833, 25.4102, 112.6905
13, 106.8884, 81.8082, 25.0802, 106.3979, 81.2968, 25.1011, 111.4826
14, 106.6636, 81.5654, 25.0982, 106.0636, 81.4983, 24.5652, 113.8788
15, 106.3968, 81.2851, 25.1117, 106.0636, 80.6473, 25.4163, 111.6141
16, 106.2138, 81.1139, 25.0999, 105.6970, 81.3231, 24.3738, 110.2578
17, 106.0081, 80.8760, 25.1322, 106.0530, 80.4947, 25.5583, 114.1790
18, 105.8827, 80.7257, 25.1571, 105.6881, 80.9707, 24.7174, 108.4168
19, 105.7173, 80.5685, 25.1489, 105.2678, 80.2022, 25.0656, 110.2740
20, 105.5936, 80.4422, 25.1513, 105.3226, 80.3832, 24.9393, 109.9159
21, 105.3923, 80.2173, 25.1750, 105.1359, 79.8835, 25.2524, 107.5735
22, 105.3217, 80.1487, 25.1729, 105.0013, 79.5722, 25.4291, 108.8548
23, 105.1528, 79.9707, 25.1820, 105.2116, 80.3828, 24.8288, 111.5265
24, 105.0749, 79.8948, 25.1801, 105.0174, 80.4661, 24.5513, 108.3083
25, 104.9701, 79.7906, 25.1795, 104.6130, 79.3437, 25.2693, 107.1375
26, 104.8817, 79.6830, 25.1987, 104.6360, 79.7637, 24.8723, 108.8240
27, 104.8154, 79.5975, 25.2179, 104.5835, 79.1316, 25.4520, 104.5697
28, 104.7173, 79.4932, 25.2241, 104.5390, 79.6019, 24.9371, 105.1897
29, 104.5550, 79.3583, 25.1966, 104.7110, 79.4835, 25.2275, 106.3199
30, 104.5823, 79.3583, 25.2240, 104.2714, 78.8532, 25.4182, 104.6663
31, 104.3740, 79.1553, 25.2187, 104.1796, 79.2614, 24.9182, 106.3660
32, 104.3337, 79.0958, 25.2379, 104.6263, 78.7792, 25.8471, 104.7594
33, 104.2602, 79.0812, 25.1790, 104.2448, 79.3628, 24.8820, 101.6045
34, 104.1969, 78.9702, 25.2266, 104.2029, 79.0724, 25.1305, 102.4990
35, 104.0413, 78.8314, 25.2099, 104.0175, 78.4568, 25.5607, 103.7377
36, 104.0956, 78.8556, 25.2400, 104.1288, 79.2699, 24.8589, 105.2372
37, 104.0008, 78.7888, 25.2120, 104.1708, 78.7013, 25.4695, 101.3845
38, 103.9606, 78.7453, 25.2154, 104.4860, 79.1898, 25.2962, 103.4692
39, 103.8870, 78.6328, 25.2542, 103.6454, 78.3207, 25.3247, 103.3516
40, 103.8442, 78.6114, 25.2328, 103.8125, 77.9218, 25.8906, 102.8658
41, 103.7235, 78.5006, 25.2229, 103.5648, 78.9384, 24.6264, 101.5482
42, 103.7006, 78.5235, 25.1770, 103.7232, 79.4606, 24.2626, 101.5153
43, 103.5983, 78.4193, 25.1791, 104.0536, 78.7336, 25.3200, 102.0585
44, 103.5607, 78.3557, 25.2050, 103.3820, 78.7321, 24.6498, 104.7366
